"team_api_id","team_long_name","buildUp","chanceCreation","defense","goals"
10249,"Montpellier Hérault SC",162,142,157,344
4170,"US Boulogne Cote D'Opale",0,154,155,31
108893,"AC Arles-Avignon",156,138,158,21
8521,"Stade Brestois 29",161,168,129,99
8576,"AC Ajaccio",168,138,138,116
4087,"Évian Thonon Gaillard FC",149,164,140,180
9836,"Dijon FCO",154,153,149,38
9837,"Stade de Reims",134,158,127,168
7794,"SC Bastia",174,156,147,165
10242,"ES Troyes AC",148,147,137,71
9747,"En Avant de Guingamp",158,134,145,122
8550,"FC Metz",152,153,127,31
8121,"Angers SCO",159,140,139,40
6391,"GFC Ajaccio",153,163,141,37
9823,"FC Bayern Munich",97,90,184,653
9790,"Hamburger SV",150,167,134,344
8178,"Bayer 04 Leverkusen",157,192,183,483
9789,"Borussia Dortmund",148,163,176,551
10189,"FC Schalke 04",143,162,170,426
9904,"Hannover 96",144,129,146,359
8721,"VfL Wolfsburg",170,185,167,463
8722,"1. FC Köln",171,164,149,226
9810,"Eintracht Frankfurt",130,145,145,296
8177,"Hertha BSC Berlin",146,172,152,238
9912,"DSC Arminia Bielefeld",166,159,138,29
8697,"SV Werder Bremen",174,192,183,423
8398,"FC Energie Cottbus",126,175,154,30
8226,"TSG 1899 Hoffenheim",171,187,162,400
9788,"Borussia Mönchengladbach",116,113,128,403
10269,"VfB Stuttgart",155,172,117,415
8295,"Karlsruher SC",153,146,119,30
9911,"VfL Bochum",164,172,172,72
8358,"SC Freiburg",151,144,144,245
8165,"1. FC Nürnberg",153,162,114,193
9905,"1. FSV Mainz 05",156,133,164,320
8350,"1. FC Kaiserslautern",155,167,145,72
8152,"FC St. Pauli",160,153,140,35
8406,"FC Augsburg",165,166,143,201
8194,"Fortuna Düsseldorf",156,178,165,39
8357,"SpVgg Greuther Fürth",167,149,170,26
9776,"Eintracht Braunschweig",164,172,157,29
8460,"SC Paderborn 07",175,160,108,31
8234,"FC Ingolstadt 04",152,151,134,33
8262,"SV Darmstadt 98",179,174,129,38
8524,"Atalanta",146,138,148,283
8551,"Siena",144,183,144,149
8529,"Cagliari",134,196,187,309
8543,"Lazio",188,220,190,417
8530,"Catania",170,141,147,251
10233,"Genoa",184,134,127,392
8533,"Chievo Verona",187,170,156,285
8690,"Reggio Calabria",163,184,138,30
8535,"Fiorentina",121,172,178,440
9885,"Juventus",105,195,135,543
8564,"Milan",170,171,164,496
9857,"Bologna",164,132,132,263
8686,"Roma",142,191,141,530
9875,"Napoli",160,189,157,514
9882,"Sampdoria",130,130,154,318
8636,"Inter",181,169,159,496
9804,"Torino",174,159,137,241
9888,"Lecce",0,135,140,121
8600,"Udinese",185,189,154,415
8540,"Palermo",168,158,152,351
9976,"Bari",157,143,156,76
8537,"Livorno",183,134,126,66
10167,"Parma",147,176,132,272
9880,"Cesena",138,163,145,98
9858,"Brescia",141,158,150,34
6269,"Novara",179,168,138,34
9878,"Pescara",148,131,128,27
9876,"Hellas Verona",124,148,158,145
7943,"Sassuolo",182,169,138,141
8534,"Empoli",145,186,160,86
9891,"Frosinone",157,151,159,35
208931,"Carpi",190,160,115,37
8277,"Vitesse",145,161,180,423
8674,"FC Groningen",142,170,149,390
9803,"Roda JC Kerkrade",133,146,118,343
8611,"FC Twente",131,140,140,509
8525,"Willem II",150,153,135,222
8593,"Ajax",117,143,176,647
8464,"N.E.C.",150,156,141,310
8526,"De Graafschap",0,150,136,130
9908,"FC Utrecht",143,147,159,408
8640,"PSV",153,125,128,652
9791,"Heracles Almelo",147,165,169,403
10235,"Feyenoord",131,146,129,489
8614,"Sparta Rotterdam",0,140,90,76
10217,"ADO Den Haag",162,145,142,366
6601,"FC Volendam",0,0,0,38
10228,"SC Heerenveen",150,152,138,470
10229,"AZ",154,173,166,492
9761,"NAC Breda",153,128,115,294
10219,"RKC Waalwijk",142,133,99,153
9839,"VVV-Venlo",0,164,120,152
10218,"Excelsior",163,136,106,154
6413,"PEC Zwolle",136,165,181,204
7788,"SC Cambuur",136,134,138,119
6433,"Go Ahead Eagles",160,131,141,74
6631,"FC Dordrecht",134,176,164,24
10265,"Wisła Kraków",119,101,157,332
8031,"Polonia Bytom",0,122,162,88
8020,"Polonia Bytom",0,122,162,245
1601,"Ruch Chorzów",133,176,136,280
8673,"Legia Warszawa",137,167,168,409
2183,"P. Warszawa",0,131,139,184
8025,"Śląsk Wrocław",140,157,139,318
8030,"Lechia Gdańsk",162,183,149,279
8244,"Widzew Łódź",190,184,139,50
8242,"Odra Wodzisław",0,155,205,50
2182,"Lech Poznań",147,196,153,372
8569,"GKS Bełchatów",143,139,132,190
8322,"Arka Gdynia",0,147,140,77
1957,"Jagiellonia Białystok",158,152,162,287
8028,"Piast Gliwice",183,169,129,204
2186,"Cracovia",125,165,157,235
8245,"Korona Kielce",178,153,135,237
8021,"Zagłębie Lubin",133,149,148,207
8024,"Widzew Łódź",190,184,139,122
8033,"Podbeskidzie Bielsko-Biała",189,166,102,169
8023,"Pogoń Szczecin",119,144,158,152
8027,"Zawisza Bydgoszcz",145,147,143,75
8019,"Górnik Łęczna",140,139,149,61
177361,"Termalica Bruk-Bet Nieciecza",0,0,0,33
9773,"FC Porto",173,190,178,541
9807,"CF Os Belenenses",156,128,135,148
9768,"Sporting CP",178,147,174,411
7992,"Trofense",0,0,0,25
7844,"Vitória Guimarães",131,173,141,300
10238,"Vitória Setúbal",149,158,132,238
6403,"FC Paços de Ferreira",142,169,139,292
10264,"SC Braga",145,166,120,398
10213,"Amadora",0,0,0,26
10215,"Académica de Coimbra",150,166,138,240
7841,"Rio Ave FC",157,177,153,248
9772,"SL Benfica",177,185,171,568
6421,"Leixões SC",0,165,90,55
10214,"CD Nacional",167,150,141,332
9809,"Naval 1° de Maio",0,135,121,71
10212,"CS Marítimo",176,186,133,316
9771,"União de Leiria, SAD",0,148,154,85
2033,"S.C. Olhanense",147,134,105,138
9765,"Portimonense",0,0,0,29
10211,"SC Beira Mar",0,165,150,93
4064,"Feirense",0,0,0,27
9764,"Gil Vicente FC",176,147,132,110
8348,"Moreirense FC",139,144,138,101
7842,"Estoril Praia",167,139,150,167
158085,"FC Arouca",170,160,113,101
