"id","player_api_id","player_name","player_fifa_api_id","overall_rating","gk_rating","appearances","leagues"
9254,39379,"Roy Beerens",169978,76,134,88,22
9255,26199,"Roy Contout",169106,70,128,54,16
9256,638592,"Roy Gelmi",227700,60,58,15,4
9257,30592,"Roy Makaay",10704,87,124,12,4
9258,32664,"Roy McBain",14500,63,126,3,5
9259,75696,"Roy O'Donovan",171083,65,124,4,5
9260,42714,"Royston Drenthe",177752,77,131,15,11
9261,11754,"Ruben Amorim",138463,77,150,30,11
9262,281323,"Ruben Andrade",228817,68,54,3,4
9263,32761,"Ruben Baraja",141317,82,159,18,8
9264,396526,"Ruben Blanco",211101,70,350,4,2
9265,168390,"Ruben Botta",215199,75,45,2,3
9266,192306,"Ruben Brigido",198512,70,146,1,3
9267,96652,"Ruben Castro",115909,NA,NA,63,8
9268,358138,"Ruben Duarte",226637,71,56,17,4
9269,164323,"Ruben Fernandes",18115,75,61,44,14
9270,242892,"Ruben Ferreira",205524,77,54,47,4
9271,384413,"Ruben Garcia",211022,74,60,36,8
9272,289178,"Ruben Jurado",172691,67,55,24,8
9273,257828,"Ruben Ligeon",204138,69,46,13,4
9274,164472,"Ruben Lima",192156,68,135,4,3
9275,604982,"Ruben Loftus-Cheek",213666,66,58,3,5
9276,33805,"Ruben Martin Pulido",135775,77,135,5,5
9277,150045,"Ruben Micael",190779,79,146,59,17
9278,534684,"Ruben Neves",224293,76,56,11,7
9279,39537,"Ruben Olivera",48826,75,104,25,13
9280,70969,"Ruben Palazuelos",142447,68,146,40,15
9281,282678,"Ruben Pardo",204523,77,46,40,8
9282,2805,"Ruben Perez",190156,76,141,68,8
9283,191774,"Ruben Pinto",200390,72,49,21,10
9284,97512,"Ruben Ribeiro",182632,72,108,31,12
9285,213711,"Ruben Rochina",188103,73,137,34,18
9286,45860,"Ruben Schaken",148854,74,122,74,9
9287,489013,"Ruben Semedo",216778,74,59,14,4
9288,74734,"Ruben Suarez",113419,75,145,13,5
9289,318526,"Ruben Vezo",215399,76,52,16,8
9290,33607,"Ruben",110774,NA,NA,24,6
9291,37656,"Ruben",146996,75,379,58,2
9292,45256,"Rubin Okotie",169348,71,126,3,3
9293,42702,"Rubinho",135073,77,383,26,2
9294,570980,"Rubio Rubin",224149,68,63,10,7
9295,280972,"Ruca",229475,66,47,11,9
9296,34945,"Rudolf Skacel",156721,NA,NA,30,12
9297,12310,"Rudolf Urban",141091,57,40,1,1
9298,107415,"Rudy Gestede",187942,73,48,7,4
9299,33448,"Rudy Haddad",171273,69,138,2,3
9300,41315,"Rudy Mater",167974,72,141,81,11
9301,11336,"Rudy Riou",5208,71,357,28,4
9302,149367,"Rudy Saintini",190370,53,113,0,0
9303,277766,"Rudy",205121,70,46,19,10
9304,27462,"Ruediger Kauf",12371,75,155,17,4
9305,11788,"Rui Baiao,22",163076,65,133,12,6
9306,22134,"Rui Borges",53401,65,139,0,0
9307,500618,"Rui Correia",223625,70,56,24,4
9308,26853,"Rui Duarte",172659,72,135,46,9
9309,159598,"Rui Fonte",183518,73,113,15,10
9310,148974,"Rui Miguel",157955,67,52,9,10
9311,28461,"Rui Miguel",175579,73,150,6,6
9312,25993,"Rui Nereu",175580,66,331,7,3
9313,40604,"Rui Patricio",178005,82,409,115,2
9314,40966,"Rui Pedro",169940,74,51,19,9
9315,185908,"Rui Rego",199401,69,339,43,2
9316,25942,"Rui Sacramento",164850,64,312,3,2
9317,164227,"Rui Sampaio",199085,70,49,35,8
9318,361717,"Rui Silva",210385,67,335,16,2
9319,150020,"Rui Varela",189748,69,113,3,2
9320,163893,"Rui Vieira",206011,59,294,2,1
9321,40094,"Rune Almenning Jarstein",104389,76,379,14,2
9322,459658,"Ruslan Malinovsky",231969,71,52,3,5
9323,32411,"Russell Anderson",138239,NA,NA,23,9
9324,32669,"Russell Duncan",13867,64,119,18,10
9325,24903,"Russell Martin",162886,73,127,58,7
9326,26533,"Rutger Worm",157379,62,140,2,4
9327,26901,"Ruud Berger",148960,65,147,10,6
9328,104033,"Ruud Boffin",178283,73,368,2,3
9329,109288,"Ruud Boymans",193296,73,114,27,4
9330,26614,"Ruud Knol",51455,69,130,8,4
9331,110185,"Ruud van de Rijt",209299,63,53,3,3
9332,34602,"Ruud van Nistelrooy",10264,87,141,19,7
9333,109061,"Ruud Vormer",178415,76,150,70,13
9334,155623,"Ryad Boudebouz",188388,77,135,112,11
9335,30915,"Ryan Babel",157301,81,135,32,20
9336,72417,"Ryan Bennett",183774,72,119,23,5
9337,46010,"Ryan Bertrand",169705,78,132,48,10
9338,439369,"Ryan Christie",213884,66,49,22,9
9339,41058,"Ryan Conroy",195059,62,69,9,7
9340,42594,"Ryan Donk",178255,74,125,50,17
9341,172186,"Ryan Dow",201084,66,68,26,11
9342,425251,"Ryan Edwards",207430,60,56,4,7
9343,34213,"Ryan Esson",138246,NA,NA,53,2
9344,95335,"Ryan Flynn",186126,65,92,13,9
9345,23036,"Ryan France",157372,60,112,1,1
9346,318605,"Ryan Gauld",208919,73,61,13,10
9347,24154,"Ryan Giggs",241,86,155,39,12
9348,118897,"Ryan Jack",189218,69,56,81,14
9349,110110,"Ryan Koolwijk",184071,70,42,57,12
9350,160448,"Ryan Mason",190683,75,124,19,5
9351,150969,"Ryan McGivern",189687,64,116,23,5
9352,94467,"Ryan McGowan",190180,68,111,39,13
9353,388894,"Ryan McLaughlin",210392,61,56,1,1
9354,172615,"Ryan Mendes",194847,73,107,12,7
9355,23921,"Ryan Nelsen",1412,79,140,52,6
9356,32717,"Ryan O'Leary",156676,63,66,24,8
9357,160367,"Ryan Scully",215635,57,280,4,2
9358,40695,"Ryan Shawcross",169596,80,132,127,7
9359,106910,"Ryan Shotton",170039,71,128,17,5
9360,36611,"Ryan Stevenson",122586,67,141,60,12
9361,24890,"Ryan Taylor",23466,74,155,30,11
9362,496356,"Ryan Thomas",220763,71,45,29,8
9363,8925,"Ryan Thomson",163517,52,49,5,7
9364,248454,"Ryan Tunnicliffe",203069,67,53,1,2
9365,106474,"Rydell Poepon",179941,69,116,82,11
9366,245422,"Ryo Miyaichi",202053,71,68,15,6
9367,196288,"Ryota Morioka",232294,64,38,3,3
9368,279181,"Saber Khalifa",204194,75,49,21,8
9369,639150,"Sabin Merino",226215,73,52,6,5
9370,513990,"Sacha Bastien",220188,60,298,0,1
9371,69653,"Sacha Kljestan",176062,72,142,33,11
9372,303339,"Sadio Mane",208722,78,56,29,8
9373,638612,"Sai van Wermeskerken",228704,57,47,0,0
9374,491883,"Said Benrahma",220621,67,53,3,3
9375,26519,"Said Boutahar",136762,70,111,18,16
9376,147722,"Said Husejinovic",188845,67,135,1,1
9377,45473,"Saidi Ntibazonkiza",179563,71,131,19,17
9378,239807,"Saido Berahino",204289,76,57,33,8
9379,41530,"Saidu Alade Adeshina",137245,62,104,3,2
9380,575778,"Saidy Janko",220172,67,46,2,2
9381,108521,"Saif Ghezal",186724,69,97,30,7
9382,91695,"Sakari Mattila",190510,66,134,10,6
9383,384407,"Saleh Al-Shehri",211173,61,64,1,2
